"component","T","S","H","P","N","P1","EDN","DKSI","DNU","DQ","DQU","DR","DUK1","DUK2","DND73","DND74","DND75","DND76","DND77","DND78","DND79","DFM1","DFK1","DFL2","DFK2","DFM1C"
 "RO1",     1,-3, 3,-1, 0, 0, 90,     2,-1, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 18 #also called RHO1
 "O1",      1,-2, 1, 0, 0, 0, 90,     2,-1, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 20
 "TAU1",    1,-2, 3, 0, 0, 0,-90,     0,-1, 0, 0, 0, 0, 0,     0, 0, 0, 1, 0, 0, 0,     0, 0, 0, 0, 0  # 21 #not in SLS
 "M1B",     1,-1, 1,-1, 0, 0,-90,     2,-1, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 23 #not in SLS. M1B 2nd option from IHO
"M1B_IHO1", 1,-1, 1,-1, 0, 0, 90,     2,-1, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0  #    #newly added, M1B 1st option from IHO
"M1B_IHO2", 1,-1, 1,-1, 0, 0,-90,     2,-1, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0  #    #newly added, M1B 2nd option from IHO (used in hatyan)
 "M1C",     1,-1, 1, 0, 0, 0,  0,     1,-1, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 1  # 24 #not in SLS
 "M1D",     1,-1, 1, 0, 0, 0,-90,     1,-1, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     1, 0, 0, 0, 0  # 25 #not in SLS
 "M1A",     1,-1, 1, 1, 0, 0,-90,     0,-1, 0, 0, 0, 0, 0,     0, 0, 0, 1, 0, 0, 0,     0, 0, 0, 0, 0  # 26 #not in SLS
 "M1",      1,-1, 1, 1, 0, 0,-90,     0,-1, 0,-1, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     1, 0, 0, 0, 0  # 27 #M1 3rd option from IHO
 "M1_IHO1", 1,-1, 1, 0, 0, 0,-90,     0,-1, 0,-1, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     1, 0, 0, 0, 0  #    #newly added, M1 1st option from IHO
 "M1_IHO2", 1,-1, 1, 0, 0, 0,180,     0,-1, 0,-1, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     1, 0, 0, 0, 0  #    #newly added, M1 2nd option from IHO (used in SLS
 "M1_IHO3", 1,-1, 1, 1, 0, 0,-90,     0,-1, 0,-1, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     1, 0, 0, 0, 0  #    #newly added, M1 3rd option from IHO (used in hatyan)
 "M1_tugo", 1,-1, 1, 1, 0, 0,-90,     1,-1, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     1, 0, 0, 0, 0  #    #newly added, M1 from Tugo (Henrique Guarneri) DKSI instead of -DQU
 "CHI1",    1,-1, 3,-1, 0, 0,-90,     0,-1, 0, 0, 0, 0, 0,     0, 0, 0, 1, 0, 0, 0,     0, 0, 0, 0, 0  # 29 #lunar conversion EDN different than SLS #also called KI1?
 "PI1",     1, 0,-2, 0, 0, 1, 90,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 31
 "P1",      1, 0,-1, 0, 0, 0, 90,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 33
 "S1",      1, 0, 0, 0, 0, 0,  0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 34 #S1 1st option from IHO
 "S1_IHO1", 1, 0, 0, 0, 0, 0,  0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  #    #newly added, S1 1st option from IHO (used in hatyan)
 "S1_IHO2", 1, 0, 0, 0, 0, 0,180,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  #    #newly added, S1 2nd option from IHO 
 "S1_IHO3", 1, 0, 0, 0, 0, 0,-90,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  #    #newly added, S1 3rd option from IHO (used in SLS)
 "K1",      1, 0, 1, 0, 0, 0,-90,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0, 0, 0,     0, 1, 0, 0, 0  # 35 #S=w2=ib is 0 instead of 1 in SLS (mistake in SLS?). K1 2nd option from IHO. 
 "K1_IHO1", 1, 0, 1, 0, 0, 0,  0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0, 0, 0,     0, 1, 0, 0, 0  #    #newly added, K1 1st option from IHO
 "K1_IHO2", 1, 0, 1, 0, 0, 0,-90,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0, 0, 0,     0, 1, 0, 0, 0  #    #newly added, K1 2nd option from IHO (used in hatyan)
 "PSI1",    1, 0, 2, 0, 0,-1,-90,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 36 #EDN 270 instead of 90 in SLS (mistake in SLS?)
 "FI1",     1, 0, 3, 0, 0, 0,-90,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 38 #EDN 270 instead of 90 in SLS (mistake in SLS?). IHO also called PHI1
 "THETA1",  1, 1,-1, 1, 0, 0,-90,     0,-1, 0, 0, 0, 0, 0,     0, 0, 0, 1, 0, 0, 0,     0, 0, 0, 0, 0  # 40 #EDN 0 instead of 90 in SLS (mistake in SLS?). #also called TTA1?
 "J1",      1, 1, 1,-1, 0, 0,-90,     0,-1, 0, 0, 0, 0, 0,     0, 0, 0, 1, 0, 0, 0,     0, 0, 0, 0, 0  # 42 #EDN 270 instead of 90 in SLS (mistake in SLS?).
 "OO1",     1, 2, 1, 0, 0, 0,-90,    -2,-1, 0, 0, 0, 0, 0,     0, 0, 0, 0, 1, 0, 0,     0, 0, 0, 0, 0  # 45
 "OQ2",     2,-5, 2, 1, 0, 0,180,     4,-2, 0, 0, 0, 0, 0,     0, 0, 2, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 49 OQ2=O1+Q1 moved from shallow relations to harmonics, purely administrative
 "OQ2_tugo",2,-5, 2, 1, 0, 0,180,     4,-2, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0, 0, 0,     0, 0, 0, 0, 0  #    newly added, OQ2 from Tugo (Henrique Guarneri), harmonic instead of shallow water (just like foreman), only difference is DND75 instead of DND75**2
 "EPS2",    2,-5, 4, 1, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  #    #newly added, EPS2 (same v0/freq as MNS2 and same u/f as M2) #also called E2?
 "2N2",     2,-4, 2, 2, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 55
 "MU2",     2,-4, 4, 0, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 56
 "N2",      2,-3, 2, 1, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 59
 "NU2",     2,-3, 4,-1, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 60
 "MA2",     2,-2, 1, 0, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  #    #newly added from IHO table, MA2, α2, H1. Corresponds to MPS2 (except for EDN). Although theoretically they should have the same values of u and f as M2, they are so small that they are commonly treated as having values of u = 0 and f = 1.
 "M2",      2,-2, 2, 0, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 65
 "MB2",     2,-2, 3, 0, 0, 0,  0,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  #    #newly added from IHO table, MB2, β2, H2, Ma2 and MA2*. Corresponds to MSP2 (except for EDN). Although theoretically they should have the same values of u and f as M2, they are so small that they are commonly treated as having values of u = 0 and f = 1.
 "LABDA2",  2,-1, 0, 1, 0, 0,180,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 70 IHO also called LAMBDA2, FES2014 calls it LA2
 "L2",      2,-1, 2,-1, 0, 0,180,     2,-2, 0, 0,-1, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 1, 0, 0  # 72
 "L2A",     2,-1, 2,-1, 0, 0,180,     2,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 1, 0,     0, 0, 0, 0, 0  # 73 #not in SLS
 "L2B",     2,-1, 2, 1, 0, 0,  0,     0,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 1,     0, 0, 0, 0, 0  # 74 #not in SLS
 "T2",      2, 0,-1, 0, 0, 1,  0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 76
 "S2",      2, 0, 0, 0, 0, 0,  0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 77
 "R2",      2, 0, 1, 0, 0,-1,180,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0  # 78
 "K2",      2, 0, 2, 0, 0, 0,  0,     0, 0, 0, 0, 0, 0, 1,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 1, 0  # 79
 "ETA2",    2, 1, 2,-1, 0, 0,  0,     0,-2, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 0, 1,     0, 0, 0, 0, 0  # 81 #not in SLS
 "S3",      3, 0, 0, 0, 0, 0,  0,     0, 0, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0, 2, 0,     0, 0, 0, 0, 0  #    #newly added, S3 from Tugo (Henrique Guarneri)
 "M3",      3,-3, 3, 0, 0, 0,  0,     3,-3, 0, 0, 0, 0, 0,     0, 0, 0, 0, 0,1.5,0,     0, 0, 0, 0, 0  # 96 #EDN 180 instead of 0 in SLS and IHO (mistake in hatyan?)
